dt,India,Japan,Netherlands,World
1996-04-01,-0.087,-1.737,1.134,0.097
1996-05-01,0.369,-0.639,-1.293,0.599
1996-06-01,-0.108,0.476,0.168,0.371
1996-07-01,0.286,0.289,-0.336,0.446
1996-08-01,-0.334,-0.294,1.097,0.345
1996-09-01,0.128,-0.216,-1.65,0.081
1996-10-01,-0.361,0.225,0.54,0.167
1996-11-01,0.068,0.387,-0.06,0.397
1996-12-01,-0.083,0.321,-2.687,0.582
1997-01-01,-0.399,0.835,-2.617,0.554
1997-02-01,-0.529,0.854,3.717,0.782
1997-03-01,0.124,1.236,2.884,0.813
1997-04-01,-1.444,0.555,-0.363,0.619
1997-05-01,-0.549,0.459,0.669,0.458
1997-06-01,-0.256,0.344,0.684,0.675
1997-07-01,0.445,0.291,0.97,0.551
1997-08-01,0.396,-0.26,4.003,0.659
1997-09-01,0.23,-0.351,0.385,0.762
1997-10-01,-0.578,-0.403,-0.665,0.806
1997-11-01,0.619,1.467,0.39,0.632
1997-12-01,-0.019,1.137,1.442,0.659
1998-01-01,0.38,0.232,2.813,0.788
1998-02-01,0.37,1.608,3.97,1.739
1998-03-01,-0.599,1.518,2.241,0.959
1998-04-01,0.474,2.687,1.351,1.325
1998-05-01,1.167,1.984,2.439,1.014
1998-06-01,1.014,0.328,0.989,1.044
1998-07-01,0.583,0.35,-0.398,1.196
1998-08-01,0.667,0.451,0.135,1.12
1998-09-01,0.533,1.528,0.643,0.875
1998-10-01,0.58,2.193,-0.633,0.813
1998-11-01,0.767,0.306,-2.149,0.376
1998-12-01,0.343,1.074,0.785,1.042
1999-01-01,-0.082,1.133,3.283,1.009
1999-02-01,1.26,0.353,0.7,1.73
1999-03-01,0.943,1.389,2.32,0.369
1999-04-01,1.211,0.378,1.953,0.818
1999-05-01,-0.304,0.553,1.934,0.619
1999-06-01,-0.615,1.034,-0.056,0.676
1999-07-01,0.29,0.168,2.407,0.689
1999-08-01,0.25,1.138,1.052,0.573
1999-09-01,0.301,2.075,3.779,0.681
